root,path,size_bytes,sha256,architecture,file_format,git_tracked,git_ignored,source,license_status,distribution_decision,sdk_or_image_match,success_evidence
parent_backup,MathModel-Skill-1.0.0/packages/trae/.trae/skills/paper-formal-writer/agents/openai.yaml,397,de211360474f692a2283c6a1c56fdf46c8f54e5e498a6088d6d659c0bd3ff4c3,not-applicable,yaml,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,MathModel-Skill-1.0.0/paper_output/figure_index.json,2373,0504e5f9932ad515dda8757645dd46052a8308adcb833fa1f2aa10838da821f7,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,MathModel-Skill-1.0.0/paper_output/plan/data_plan.json,2631,434f6ee4e906a34ed2a83e9bcdd12669ad5e584b6021d9e48d1bd95cc96bb2d2,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,MathModel-Skill-1.0.0/paper_output/plan/model_route.json,9933,eb7817fe3b59d282247a61b6c69a7967352bfa5a7c1104ca11eff0ac75db8af3,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,MathModel-Skill-1.0.0/paper_output/plan/paper_outline.json,57652,0c8cba4023d5bb806fe8e0423e573a86cd0bdf9afe353a1e09ac514b82d5bd1f,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,MathModel-Skill-1.0.0/paper_output/plan/rubric_alignment.json,9115,85b762ac048f56b95798a5169ba6c25fa8bee4e6384c0a6966fb8d0e4857059d,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,MathModel-Skill-1.0.0/paper_output/plan/visualization_plan.json,2169,61f47574b4f865553c382da6022bed186ee4a639026e0aba0cb8bef9a3800f07,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,MathModel-Skill-1.0.0/paper_output/qa/evidence_gate_report.json,1463,fe0c417509d747c581c396474b3cba7d84b3ab19204e0542cdf90c318599c6ad,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,MathModel-Skill-1.0.0/paper_output/results/conclusions.json,1386,ed68538c51c917d73c1aaf24b37adf795eff2049c4ae318a4d7af181c116a90b,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,MathModel-Skill-1.0.0/paper_output/results/metrics.json,3511,b782d7e66788a44bf7246039df6829a3ab28faa8a5337f495cf38283fc6daae7,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,MathModel-Skill-1.0.0/paper_output/results/model_results.json,3210,5bf27e7f5b5a5c4a0e7792c4893864ea08ad1ae66f3a342e5b303f189670991e,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,MathModel-Skill-1.0.0/paper_output/step1/D_模型路线.json,2708,5f642020b60e55a816ce087084acd17f3c6b86a4df25199f74468bddb00a1aca,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,MathModel-Skill-1.0.0/paper_output/step1/problem_analysis.json,23136,e709f290dd1dd34d2aef4fa500a69235a7ca7f9856a73638f3559f8feb8296fb,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,MathModel-Skill-1.0.0/paper_output/tables/table_index.json,3882,4d6adb1adc4abef278bbfc1dcdf6a08f578f287a8272a1da42c1f5de67b466c5,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,MathModel-Skill-1.0.0/paper_output/tasks.json,199947,93871b8f5e5ea83c8197b19a4c18bf236be57b22af0ee4e33d977074c68de06f,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,MediaCrawler/.github/workflows/deploy.yml,1964,42f67a64f1ecfaf9b7842745ba2202f9838fee52b8029bb50c38b945c0cb3263,not-applicable,yml,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/.gitattributes,109,b815570987c6f416997a576b3e3199f15168e8e499ed0edafafebbfe3ad56b46,not-applicable,data,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/.gitignore,407,0d2238b794112f8c65a1f4234e69a90693e84bfc874e010ddb160f03172ec4d6,not-applicable,data,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/.pytest_cache/.gitignore,37,3ed731b65d06150c138e2dadb0be0697550888a6b47eb8c45ecc9adba8b8e9bd,not-applicable,data,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/.pytest_cache/v/cache/lastfailed,2,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,not-applicable,data,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/.pytest_cache/v/cache/nodeids,7906,2bda2a0ca1f5cdec15fa142c5249911be30d676b1e9c883f3460a132210da3c2,not-applicable,data,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/assets/.gitkeep,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,not-applicable,data,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/configs/problem2_full.json,1579,d418127ca4ead8469eb095dd051188e1b194462bdb5973bf0d768a5a9f571f32,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/configs/problem2_quick.json,1693,174854222e07f657fd904ad5fe0e6466027d2a61c73371187a1af996f66b25db,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/configs/problem2_standard.json,1549,01eacddd0676b4302154e1eb108070d6e62e0720fb6bcc5bf9156e1b93749ff0,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/configs/problem3_full.json,1604,99fd8a4bac4f363a029838962c6e40ada6adbb7bcee5712fd40e4636a23ecda4,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/configs/problem3_quick.json,1616,943226f2ec21138574711a4a7ca422ffe1f0150dfa471cc7b2a2f437c1358af1,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/configs/problem3_standard.json,1584,e5b6d33e7f7226869da8aaf473b9d95b7634c2506e7122a02910b61206f8ad76,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/configs/problem4_full.json,2506,24c3441ead8269f5c531e250db42c9242cd2c226e0eb76e29f13c5795f08817b,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/configs/problem4_quick.json,2581,e3ff338b4cd5d1a8128cf881605a4a38ddc5cf82868aaf0e015c290b1f373b5e,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/configs/problem4_standard.json,2563,77074b04f9a67c538d2e6e46f3a42b838e6e0c1dcc44dd6804d588ab2bfe6eb4,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/data/external/.gitkeep,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,not-applicable,data,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/data/processed/.gitkeep,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,not-applicable,data,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
